Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000857,North West Hampshire,SEW,South East Water,regional water only company,,https://www.southeastwater.co.uk/,6.9%
E14000857,North West Hampshire,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,1.3%
E14000858,North West Leicestershire,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,99.8%
E14000858,North West Leicestershire,SSC,South Staffordshire Water,regional water only company,,https://www.south-staffs-water.co.uk/,0.2%
E14000859,North West Norfolk,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000860,North Wiltshire,WSX,Wessex Water,regional water and sewerage company,,https://www.wessexwater.co.uk/,61.4%
E14000860,North Wiltshire,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,35.2%
E14000860,North Wiltshire,BRL,Bristol Water,regional water only company,,https://www.bristolwater.co.uk/,3.3%
E14000861,Northampton North,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000862,Northampton South,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,99.7%
E14000862,Northampton South,IWN,Independent Water Networks,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.iwnl.co.uk/,0.3%
E14000863,Norwich North,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000864,Norwich South,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000865,Nottingham East,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000866,Nottingham North,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000867,Nottingham South,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
